quarter,level_1,level_2,level_3,value
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3944.9
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4596.6
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4642.8
2002-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10330.3
2002-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1602.1
2002-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,845.4
2002-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,28.3
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5874.1
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3557.1
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,947.9
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1652.8
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4056.1
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4636.9
2002-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5003.9
2003-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10092.3
2003-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1493.8
2003-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,777.6
2003-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,26.8
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5543.9
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3974.6
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,916.7
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1691.8
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3858.4
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4526.8
2003-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5171.5
2003-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,9744.6
2003-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1430.6
2003-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,797.9
2003-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,25.2
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5464.7
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3273.8
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,711.3
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1711.7
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4052.6
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4497.7
2003-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4231.5
2003-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10367
2003-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1548.1
2003-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,810.1
2003-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,25.5
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5694.8
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4087.8
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,874.5
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1720
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4284.8
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4626.3
2003-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4577.6
2003-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,11300.3
2003-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1547.2
2003-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,865.5
2003-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,26.3
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,6130.5
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4616.6
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,973.2
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1784.6
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4245.5
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4778.4
2003-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4986.8
2004-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,11553.7
2004-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1499.2
2004-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,863
2004-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,25.7
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,6167.8
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4598.6
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,963.3
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1776.5
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4432.7
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4835.2
2004-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5465.5
2004-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,12562.9
2004-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1369.1
2004-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,853.8
2004-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,24.1
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,6672.1
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4634.4
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,947
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1862.8
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4358.6
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4965.3
2004-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4526.2
2004-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,13440.6
2004-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1463.5
2004-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,848.4
2004-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.9
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,7200.1
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4793.2
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,957.5
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1848
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4610.7
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,5041.8
2004-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4847.6
2004-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,14174.8
2004-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1512.8
2004-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,852.3
2004-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,27.3
2004-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,7681.7
2004-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5115.1
2004-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,994.3
2004-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1896.1
2004-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4667.4
2004-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,5241.8
